HAUL ID,Year,Date,Sea,Ices division,Predator Latin name,Predator common name,Pooled,Mean length of predator,Prey Latin name,Prey common name,Prey group,Predator ID,Number of stomachs,Prey Length,Minimum number
CLION11-83-14,1983,13/09/1983,Irish Sea,VIIa,TRISOPTERUS LUSCUS,WHITING-POUT (BIB),n,26,CARIDEA,SHRIMPS,Shrimp,CLION11-83-14\BIB-5,1,,1
CLION11-83-53,1983,22/09/1983,Irish Sea,VIIa,TRISOPTERUS LUSCUS,WHITING-POUT (BIB),n,26,CARIDEA,SHRIMPS,Shrimp,CLION11-83-53\BIB-2,1,,1
PLATESSA-10-1962-22,1962,01/06/1962,Irish Sea,VIIa,TRISOPTERUS LUSCUS,WHITING-POUT (BIB),n,19,CARIDEA,SHRIMPS,Shrimp,PLATESSA-10-1962-22\BIB-1,1,,1
PLATESSA-10-1962-22,1962,01/06/1962,Irish Sea,VIIa,TRISOPTERUS LUSCUS,WHITING-POUT (BIB),n,15,CARIDEA,SHRIMPS,Shrimp,PLATESSA-10-1962-22\BIB-1,1,,1
TELLINA-06-1963-18,1963,22/05/1963,Irish Sea,VIIa,TRISOPTERUS LUSCUS,WHITING-POUT (BIB),n,14,CARIDEA,SHRIMPS,Shrimp,TELLINA-06-1963-18\BIB-1,1,,1
DOVE-1901-D2,1901,28/06/1901,North Sea,IVb,SCOPHTHALMUS RHOMBUS,BRILL,n,26.67,CARIDEA,SHRIMPS,Shrimp,DOVE-1901-D2\BLL-2,1,,1
CLION11-83-7,1983,12/09/1983,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,35,CARIDEA,SHRIMPS,Shrimp,CLION11-83-7\BLR-1,1,,1
PLATESSA-07-1965-6,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,23,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-6\BLR-1,1,,1
PLATESSA-07-1965-6,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,19,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-6\BLR-2,1,,1
PLATESSA-07-1965-6,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,20,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-6\BLR-3,1,,1
PLATESSA-07-1965-6,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,20,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-6\BLR-4,1,,1
PLATESSA-07-1965-7,1965,23/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,23,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-7\BLR-1,1,,1
PLATESSA-07-1965-1,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,19,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-1\BLR-1,1,,1
PLATESSA-07-1965-36,1965,23/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,22,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-36\BLR-1,1,,1
PLATESSA-07-1965-42,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,22,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-42\BLR-2,1,,1
PLATESSA-07-1965-50,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,20,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-50\BLR-1,1,,1
ONAWAY-07-1959-10,1959,23/07/1959,North Sea,IVb,GADUS MORHUA,COD,n,32,CARIDEA,SHRIMPS,Shrimp,ONAWAY-07-1959-10\COD-5,1,,2
ONAWAY-07-1959-24,1959,26/07/1959,North Sea,IVb,GADUS MORHUA,COD,n,43,CARIDEA,SHRIMPS,Shrimp,ONAWAY-07-1959-24\COD-2,1,,2
ONAWAY-07-1959-24,1959,26/07/1959,North Sea,IVb,GADUS MORHUA,COD,n,57,CARIDEA,SHRIMPS,Shrimp,ONAWAY-07-1959-24\COD-3,1,,1
ONAWAY-07-1959-3,1959,22/07/1959,North Sea,IVb,GADUS MORHUA,COD,n,66,CARIDEA,SHRIMPS,Shrimp,ONAWAY-07-1959-3\COD-5,1,,1
ONAWAY-07-1959-8,1959,23/07/1959,North Sea,IVb,GADUS MORHUA,COD,n,42,CARIDEA,SHRIMPS,Shrimp,ONAWAY-07-1959-8\COD-2,1,,1
PLATESSA-11-1959-23,1959,28/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,46,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-23\COD-1,1,,1
PLATESSA-11-1959-23,1959,28/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,59,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-23\COD-13,1,,3
PLATESSA-11-1959-23,1959,28/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,67,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-23\COD-2,1,,1
PLATESSA-11-1959-25,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,63,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-25\COD-2,1,,1
PLATESSA-11-1959-25,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,38,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-25\COD-3,1,,1
PLATESSA-11-1959-26,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,51,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-26\COD-1,1,,1
PLATESSA-11-1959-26,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,58,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-26\COD-10,1,,1
PLATESSA-11-1959-26,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,47,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-26\COD-3,1,,1
PLATESSA-11-1959-26,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,48,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-26\COD-4,1,,1
PLATESSA-11-1959-26,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,53,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-26\COD-5,1,,1
PLATESSA-11-1959-26,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,42,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-26\COD-6,1,,1
PLATESSA-11-1959-26,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,58,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-26\COD-7,1,,1
PLATESSA-11-1959-26,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,45,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-26\COD-8,1,,1
PLATESSA-11-1959-27,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,55,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-27\COD-10,1,,1
PLATESSA-11-1959-27,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,67,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-27\COD-11,1,,1
PLATESSA-11-1959-27,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,39,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-27\COD-12,1,,1
PLATESSA-11-1959-27,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,55,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-27\COD-7,1,,1
PLATESSA-11-1959-27,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,48,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-27\COD-8,1,,1
PLATESSA-11-1959-28,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,70,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-28\COD-1,1,,1
PLATESSA-11-1959-28,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,35,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-28\COD-11,1,,1
PLATESSA-11-1959-28,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,61,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-28\COD-7,1,,1
PLATESSA-11-1959-29,1959,29/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,60,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-29\COD-5,1,,1
PLATESSA-11-1959-3,1959,25/06/1959,North Sea,IVb,GADUS MORHUA,COD,n,25,CARIDEA,SHRIMPS,Shrimp,PLATESSA-11-1959-3\COD-13,1,,1
SILST01-83-ALL,1983,29/03/1983,Irish Sea,VIIa,GADUS MORHUA,COD,y,17.3,CARIDEA,SHRIMPS,Shrimp,SILST01-83-ALL\COD-1,10,,1
TELLINA-11-1961-10,1961,21/09/1961,North Sea,IVb,GADUS MORHUA,COD,n,32,CARIDEA,SHRIMPS,Shrimp,TELLINA-11-1961-10\COD-11,1,,1
TELLINA-11-1961-10,1961,21/09/1961,North Sea,IVb,GADUS MORHUA,COD,n,40,CARIDEA,SHRIMPS,Shrimp,TELLINA-11-1961-10\COD-2,1,,1
TELLINA-11-1961-10,1961,21/09/1961,North Sea,IVb,GADUS MORHUA,COD,n,46,CARIDEA,SHRIMPS,Shrimp,TELLINA-11-1961-10\COD-3,1,,1
TELLINA-11-1961-10,1961,21/09/1961,North Sea,IVb,GADUS MORHUA,COD,n,31,CARIDEA,SHRIMPS,Shrimp,TELLINA-11-1961-10\COD-5,1,,1
TELLINA-11-1961-10,1961,21/09/1961,North Sea,IVb,GADUS MORHUA,COD,n,32,CARIDEA,SHRIMPS,Shrimp,TELLINA-11-1961-10\COD-6,1,,1
TELLINA-11-1961-10,1961,21/09/1961,North Sea,IVb,GADUS MORHUA,COD,n,43,CARIDEA,SHRIMPS,Shrimp,TELLINA-11-1961-10\COD-6,1,,1
TELLINA-11-1961-13,1961,22/09/1961,North Sea,IVb,GADUS MORHUA,COD,n,43,CARIDEA,SHRIMPS,Shrimp,TELLINA-11-1961-13\COD-9,1,,6
TELLINA-04-1963-11,1963,17/03/1963,North Sea,IVb,GADUS MORHUA,COD,n,42,CARIDEA,SHRIMPS,Shrimp,TELLINA-04-1963-11\COD-1,1,,1
TELLINA-04-1963-16,1963,21/03/1963,North Sea,IVb,GADUS MORHUA,COD,n,74,CARIDEA,SHRIMPS,Shrimp,TELLINA-04-1963-16\COD-3,1,,2
TELLINA-04-1963-3,1963,17/03/1963,North Sea,IVb,GADUS MORHUA,COD,n,56,CARIDEA,SHRIMPS,Shrimp,TELLINA-04-1963-3\COD-3,1,,1
TELLINA-11-1961-15,1961,23/09/1961,North Sea,IVb,GADUS MORHUA,COD,n,41,CARIDEA,SHRIMPS,Shrimp,TELLINA-11-1961-15\COD-15,1,,1
TELLINA-11-1961-15,1961,23/09/1961,North Sea,IVb,GADUS MORHUA,COD,n,46,CARIDEA,SHRIMPS,Shrimp,TELLINA-11-1961-15\COD-17,1,,1
TELLINA-11-1961-15,1961,23/09/1961,North Sea,IVb,GADUS MORHUA,COD,n,56,CARIDEA,SHRIMPS,Shrimp,TELLINA-11-1961-15\COD-18,1,,1
